Num episodes,Cumulative rewards
10,"[-1.0, 11.0, -1.0, -1.0, -1.0, 11.0, 8.0, -2.0, 1.0, -1.0]"
20,"[-1.0, -1.0, -2.0, 8.0, -1.0, 9.0, 8.0, 5.0, 12.0, -1.0]"
30,"[5.0, -1.0, -1.0, 3.0, -1.0, 5.0, 12.0, 14.0, 3.0, 6.0]"
40,"[-1.0, -2.0, 7.0, -1.0, 12.0, -1.0, 12.0, 2.0, -1.0, -1.0]"
50,"[11.0, 6.0, -2.0, 5.0, -2.0, -1.0, 9.0, 16.0, 11.0, 19.0]"
60,"[-2.0, -1.0, 7.0, 13.0, -1.0, -1.0, 11.0, 1.0, -2.0, 9.0]"
70,"[8.0, -1.0, 0.0, -1.0, -2.0, -2.0, 11.0, 8.0, 3.0, -1.0]"
80,"[1.0, -1.0, 10.0, -1.0, 1.0, 11.0, 10.0, 0.0, -1.0, 11.0]"
90,"[-1.0, 2.0, 5.0, -1.0, 8.0, 3.0, 5.0, 14.0, 12.0, -1.0]"
100,"[-1.0, -1.0, 5.0, 3.0, 0.0, 1.0, -1.0, -2.0, 5.0, 11.0]"
110,"[-1.0, -1.0, -1.0, 9.0, 1.0, -1.0, 8.0, 1.0, 8.0, -2.0]"
120,"[-1.0, -2.0, -1.0, -1.0, 2.0, -1.0, -1.0, -2.0, 11.0, 2.0]"
130,"[8.0, -2.0, 11.0, -1.0, 5.0, 10.0, 5.0, -2.0, 8.0, 11.0]"
140,"[-2.0, 3.0, -1.0, 6.0, 12.0, 7.0, -1.0, -1.0, -1.0, -2.0]"
150,"[6.0, 0.0, -2.0, -1.0, 10.0, 3.0, -2.0, 6.0, -1.0, 8.0]"
160,"[-1.0, 11.0, -1.0, 8.0, 8.0, -1.0, -1.0, 2.0, 8.0, -2.0]"
170,"[17.0, -2.0, 11.0, 0.0, -3.0, 5.0, 31.0, 7.0, 5.0, 8.0]"
180,"[-2.0, -1.0, 8.0, 11.0, 3.0, 3.0, 10.0, -2.0, 14.0, 8.0]"
190,"[-2.0, 8.0, -1.0, 8.0, 1.0, -1.0, 1.0, -2.0, -1.0, -1.0]"
200,"[6.0, 0.0, 6.0, -2.0, 8.0, -1.0, -1.0, 6.0, 9.0, -1.0]"
210,"[12.0, 15.0, 50.0, 36.0, 28.0, 23.0, 1.0, 50.0, 50.0, 50.0]"
220,"[50.0, 37.0, 50.0, 31.0, 15.0, 37.0, 33.0, 50.0, 50.0, 4.0]"
230,"[50.0, 50.0, 14.0, 50.0, 50.0, 36.0, 13.0, 28.0, 50.0, 50.0]"
240,"[50.0, 20.0, 39.0, 50.0, 31.0, 50.0, 50.0, 50.0, 50.0, 33.0]"
250,"[50.0, 50.0, 50.0, 50.0, 50.0, 33.0, 50.0, 50.0, 50.0, 36.0]"
260,"[50.0, 12.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]"
270,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 18.0, 50.0, 50.0]"
280,"[50.0, 31.0, 50.0, 50.0, 50.0, 50.0, 50.0, 15.0, 19.0, 50.0]"
290,"[7.0, 50.0, 50.0, 50.0, 50.0, 21.0, -1.0, 24.0, 24.0, 50.0]"
300,"[18.0, 32.0, 36.0, 50.0, 39.0, 50.0, 50.0, 50.0, 25.0, 50.0]"
310,"[29.0, 50.0, 30.0, 50.0, 22.0, 13.0, 50.0, 50.0, 8.0, 50.0]"
320,"[50.0, 2.0, 50.0, 14.0, 50.0, 50.0, 20.0, 14.0, 50.0, 50.0]"
330,"[8.0, 50.0, 31.0, 19.0, 39.0, 6.0, 50.0, 50.0, 26.0, 38.0]"
340,"[39.0, 50.0, 33.0, 50.0, -1.0, 35.0, 50.0, 25.0, 50.0, 50.0]"
350,"[50.0, 50.0, 14.0, 5.0, 31.0, 50.0, 50.0, 27.0, 50.0, 50.0]"
360,"[50.0, 50.0, 50.0, 3.0, 50.0, 50.0, -1.0, 50.0, -1.0, 26.0]"
370,"[50.0, 50.0, 50.0, -1.0, 50.0, 7.0, 36.0, 50.0, 50.0, 50.0]"
380,"[50.0, 29.0, 15.0, 50.0, 50.0, 50.0, 38.0, 38.0, 31.0, 50.0]"
390,"[25.0, 32.0, 26.0, 50.0, 50.0, 20.0, 0.0, 50.0, 35.0, 50.0]"
400,"[50.0, 50.0, 50.0, 50.0, 2.0, 50.0, 20.0, 12.0, 14.0, 50.0]"
410,"[29.0, -3.0, 50.0, 50.0, 50.0, 16.0, 16.0, 17.0, 50.0, 50.0]"
420,"[36.0, 30.0, 17.0, 50.0, 50.0, 17.0, 31.0, 14.0, 50.0, 50.0]"
430,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]"
440,"[50.0, 50.0, 27.0, 50.0, 21.0, 50.0, 50.0, 50.0, 50.0, 50.0]"
450,"[50.0, 50.0, 50.0, 50.0, 17.0, 50.0, 50.0, 17.0, 50.0, 50.0]"
460,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 29.0, 50.0, 50.0, 50.0]"
470,"[50.0, 50.0, 50.0, 19.0, 50.0, 50.0, 50.0, 50.0, 50.0, 32.0]"
480,"[50.0, 25.0, 50.0, 38.0, 50.0, 50.0, 34.0, 50.0, 35.0, 50.0]"
490,"[21.0, 33.0, 50.0, 50.0, 27.0, 19.0, 32.0, 38.0, 12.0, 50.0]"
500,"[-1.0, 50.0, 3.0, 16.0, 5.0, 13.0, 12.0, 8.0, 10.0, 12.0]"
510,"[4.0, 3.0, 17.0, 17.0, 3.0, 17.0, 2.0, 14.0, 1.0, 1.0]"
520,"[0.0, 1.0, 1.0, 14.0, 21.0, 12.0, 11.0, 11.0, 13.0, 10.0]"
530,"[-1.0, 1.0, 2.0, 3.0, 17.0, 11.0, 3.0, 2.0, 4.0, 11.0]"
540,"[-1.0, 14.0, 0.0, 19.0, 2.0, 3.0, 13.0, -2.0, 12.0, 0.0]"
550,"[30.0, 12.0, 3.0, 11.0, 11.0, 17.0, 5.0, 17.0, 1.0, 14.0]"
560,"[-1.0, -2.0, 14.0, 3.0, 8.0, 3.0, 14.0, 1.0, 28.0, 3.0]"
570,"[50.0, -1.0, 10.0, 9.0, 12.0, 13.0, 4.0, 18.0, 16.0, 14.0]"
580,"[-3.0, 14.0, 2.0, 15.0, -1.0, 37.0, 3.0, 13.0, 14.0, 15.0]"
590,"[15.0, 3.0, 0.0, 11.0, 12.0, 16.0, 3.0, 4.0, 9.0, 33.0]"
600,"[9.0, 12.0, 1.0, 3.0, 14.0, 15.0, 12.0, 38.0, 12.0, 0.0]"
610,"[50.0, 15.0, 15.0, 50.0, 50.0, 34.0, 50.0, 17.0, 7.0, 50.0]"
620,"[29.0, 12.0, 50.0, 31.0, 18.0, 25.0, 22.0, 50.0, 50.0, 21.0]"
630,"[36.0, 32.0, 50.0, 50.0, 31.0, 50.0, 25.0, 19.0, 50.0, 38.0]"
