Num episodes,Cumulative rewards
10,"[-120.77100551780842, -440.98666190006213, -123.49449290755143, -137.9564287114274, -361.4704572118262, -346.66168582417845, -118.88970122042144, -155.69578085902947, -137.70618786348876, -398.5741984363681]"
20,"[-167.34947734887842, -138.4215893785754, -523.3052278257187, -137.4157233868477, -242.5365384748168, -281.178152164225, -114.3623669745775, -91.69462369023967, -107.20500072934038, -95.83896356958064]"
30,"[-531.8128562220791, -504.8952093505877, -170.7793448608331, -114.00117270334749, -79.37202467355385, -122.5166165058088, -111.69605470666795, -106.41976269094931, -125.3555251826667, -135.92377239538985]"
40,"[-158.91655769021378, -468.70610692843866, -1.9436753363443628, -146.03363439298934, -117.90845792127917, -0.4502545334516981, -11.472504077270543, -506.0524672788272, -130.41336063768125, -131.27160883371124]"
50,"[-142.01244415371184, -110.2342555249642, -249.17594386968312, -86.54924456432136, -113.38754212907872, -180.44897995898444, -128.83469602800108, -245.04543311276433, -208.30418691729713, -163.43757728676138]"
60,"[-194.53584264978747, -143.13274750327332, -154.21054277099586, -119.20599061599546, -100.26062204141763, -161.5024540521822, -146.54165672251938, -134.7778373243062, -102.03800341825703, -295.1450710059561]"
70,"[-328.95933600283587, -129.04591527864568, -276.59434387107177, -65.24248917512006, -259.65939575482173, -314.51487699767733, -115.12819406729182, -110.71651580976064, -328.4694708547361, -206.11676022296234]"
80,"[-415.2541709277228, -330.1278261769051, -291.1887743654704, -16.75327202341782, -150.1937651866578, -107.41446601612668, -491.57623806806214, -148.01252283162097, -169.83006132366467, -140.9643921824465]"
90,"[-131.267128217829, -143.60035841982153, -150.8169583584161, -119.7673381682713, 30.980433518361167, -123.1236744959522, -95.44107735240092, -91.8557144577384, -133.17274106936483, -123.81572641695962]"
100,"[-151.45314496066382, -13.37231766721618, -164.72552345727507, -118.86643975631247, -383.47296631550523, -100.88081936682008, -114.90571939952807, -115.34649160960774, -130.09786294148438, -107.26163006289784]"
110,"[-125.45886757803177, -183.00394882185918, -139.1108838499144, -144.0865390631936, -131.08451834666275, -272.3195351109151, -133.39891426355436, -192.9261223866846, -152.23043725595008, -115.68461585587906]"
120,"[-126.69072600396626, -124.77872432593696, -541.0026315170174, -236.20479486178843, -146.89319714141928, -169.06717735178032, -374.1305442142473, -217.34320812254063, -160.87926979360378, -394.03513118638614]"
130,"[-163.82089392370153, -137.12179786575962, -124.4996518996004, -137.71422538519423, -372.56458483452343, -125.84288547840566, -148.96956199955235, -84.14623726342504, -142.98808686776619, -224.00207716886513]"
140,"[-271.07099502106576, -475.2378861312948, -135.77162341321915, -97.34504612656266, -141.9113971854911, -168.29718581797735, -67.66399579433579, -132.9116339527988, -138.31455445071362, 24.74739132889526]"
150,"[-366.6213890813568, -617.5909644811338, -101.0152268229206, -100.77159211095841, -124.29371571123527, -186.75531533749796, -118.30282295200718, -99.87754646451617, -172.63567583941617, -219.5528507538414]"
160,"[-122.18363851802681, -217.58577855795943, -342.73488327966675, -174.28431001174178, -72.86842283733847, -140.0176318644348, -157.51529448810558, -112.43248592738277, -110.60485043357676, -141.37568756284287]"
170,"[-141.6715859334831, -77.7493061343626, -173.48078431476648, -143.58181711294685, -102.96083780825705, -375.6370049652023, -107.434131286465, -102.1155640851292, 35.23413751728877, -133.2942949561484]"
180,"[-109.66199459447523, -201.27816621776503, -147.84798425140863, -122.71775403317648, -193.32028895590315, -114.40454845589394, -136.43017038085773, -138.1030068568287, -131.4429961187138, -173.43790436002826]"
190,"[-97.35264619473779, -546.6473728449275, -118.26182156276312, -98.72244135101542, -133.557953621948, -322.6233556655298, -314.7121327438262, -154.9046526845869, -193.51701412726914, -120.95943780650052]"
200,"[-158.30318440475295, -118.583236657909, -142.60358380421695, -88.32759452692156, -584.833000826103, -281.68072750083803, -454.1331327263979, -1218.3796228668207, -112.58289201897603, -177.46850649159353]"
210,"[-144.7263375324178, -137.70792547178655, -122.10060037220359, -136.78020350557375, -135.88081277425272, -101.48338563902695, -172.52471208988885, -238.84663383660444, -88.5410666747367, -61.76901906203459]"
220,"[-304.6669373768743, -100.2487156307202, -554.8836110671322, -428.11456273756664, -153.84110826852822, -115.25145268562858, -82.14130226616587, -148.84312931494728, -224.83777080590772, -106.88089777329344]"
230,"[-149.6601745618819, -242.86417148189298, -272.8940912185717, -180.212524282346, -138.99042679996586, -404.6585423685514, -477.21012664751737, -179.86718110083197, -133.07975299282708, -145.46549275422402]"
240,"[-138.93094781673966, -365.944862816743, -178.29782290303586, -212.24471094095242, -118.05551805015784, -237.55989349152742, -109.11797327243883, -106.75128649186232, -117.28216449214091, -103.23900694599624]"
250,"[-131.35561162860662, -166.23191197959056, -191.90729623605048, -103.3919717156063, -124.5486922963498, -123.86777963181635, -161.12804665754928, -114.54237679901829, -150.12179692195974, -33.38463052549562]"
260,"[-139.28835289193836, -110.52088892745181, -131.00743806379165, -226.32632260875732, -213.51022582054586, -143.32197717787656, -93.07828036501644, -127.81649131411069, -127.60914779770007, -107.33689076061036]"
270,"[-184.68218775188188, -139.84130529196992, -134.7012839723131, -105.46620778926953, -118.209355312805, -144.2041415652992, -205.87807260862425, -159.46337643704382, -106.05433657969141, -149.56492438357557]"
280,"[-202.53423203212412, -179.98622460392318, -123.49372503760847, -465.3039086615413, -156.93113880282263, -94.34317700344127, -145.61543211240826, -172.2267519381675, -100.20495155945136, -138.8585973127909]"
290,"[-386.00667605317255, -154.03244715131228, -246.1566417715299, -340.08252406145357, -343.03323436822063, -357.16088257090473, -297.4068060013709, -135.96284930432142, -519.7771609297976, -200.8672350015014]"
300,"[-142.15003526206834, -351.50952762199546, -126.05164530463992, -108.60011455896048, -97.20366256659982, -442.8325856114547, -422.0530297631226, -404.5220999524704, -161.8321887254989, -238.8541215038283]"
310,"[-296.9486221882996, -415.9705727234694, -439.63159247834045, -113.31624563623475, -465.15872240762997, -124.30711987551393, -384.808653661842, -299.0820415687721, -143.36849130937964, -118.13325020606857]"
320,"[-359.99210607129294, -301.33732055319825, -120.62816043152486, -467.8191202892227, -260.69758243646436, -516.2094142317937, -468.7166009796259, -500.64448336483673, -320.85069091087485, -125.93241745831463]"
330,"[-386.0296502762022, -610.4471707762648, -346.5023641212139, -120.92234056966998, -133.64930709777633, -392.072679893903, -139.08242937617158, -87.0431129983906, -134.9436634493807, -82.4473257152464]"
340,"[-125.33589192318192, -572.8850110829335, -134.14932723383333, -383.2781673004806, -573.3130857754701, -520.5533286072509, -339.4210918220748, -769.1838063401881, -501.05291370456666, -253.17960946343078]"
350,"[-227.00884345679128, -123.44587316607041, -127.62309884145085, -324.18078107828876, -179.36399386427314, -444.41116935167906, -327.3761691368436, -414.85813440497213, -497.80365830322876, -393.1270412830751]"
360,"[-126.56751445666427, -135.9401551843366, -186.95447588238306, -312.2763121850176, -376.6307691947991, -278.00502101227255, -315.2473335455141, -381.1312978512027, -182.66298707716666, -490.9847595954415]"
370,"[-405.24065801010454, -505.9234838694132, -396.4274962917124, 18.315796760182195, -145.05363827463393, -183.337888142447, -254.03370538155795, -449.5370085419926, -133.5195322062682, -77.01974136552224]"
380,"[-254.56023272876234, -155.38550712058168, -169.77873805963975, -219.11986689290276, -851.8362124380426, -320.84338662499783, -506.92468982183163, -34.29571525584339, -416.5383544647129, -590.253210569435]"
390,"[-122.6582263324647, -306.2813662565986, -311.60195047370576, -309.18754544666155, -845.9374750195459, -151.01594660063586, -504.5705625287802, -257.7652360874504, -204.38103041004, -323.2146994697502]"
400,"[-354.16617925707044, -137.11521902093014, -462.1151995468802, -133.930258807816, -220.69434204903138, -117.4837791456599, -280.16314984022966, -324.4496003496248, -149.9751383862954, -120.77115887566575]"
410,"[-254.800408528344, -317.9359415403986, -280.23978954898655, -100.8502273841874, -143.5487902956167, -120.78379485279453, -458.58509107482416, -238.04380755838815, -153.79029313665086, -689.0187207633408]"
420,"[-372.09024073395244, -115.47208433515353, -683.4392403072732, -246.0026910643209, -386.9200609728515, -119.05527051352058, -384.3065220681308, -282.78641370083045, -382.6219456763197, -239.23595661673502]"
430,"[-389.2189988121453, -167.1150516396671, -222.08206054402012, -409.31134157025036, -165.07559487811028, -103.66675271633294, -139.83829515360316, -295.70293826988654, -143.3077006707826, -287.43971068312817]"
440,"[-474.2178186327396, -148.17710594319365, -149.64382625370519, 6.057395734399179, -138.03263943054773, -397.21128625169297, -354.81746008630967, -437.3144165506155, -475.33414138641047, -143.57339519390712]"
450,"[-163.83283705497877, -104.00412729592588, -148.05021067837242, -298.9419793865553, -242.99459249958358, -103.23596234367318, -102.67659923174259, -117.11337396210581, -365.03328788770057, -112.31052243664158]"
