Num episodes,Cumulative rewards
10,"[-2.0, -1.0, 15.0, 0.0, -2.0, -2.0, -1.0, -1.0, -2.0, 0.0]"
20,"[-1.0, 1.0, 16.0, -2.0, -2.0, 0.0, 3.0, 0.0, -1.0, 0.0]"
30,"[-2.0, -1.0, 16.0, 0.0, -2.0, -1.0, 1.0, -1.0, -2.0, 1.0]"
40,"[20.0, -3.0, 9.0, -2.0, 1.0, -2.0, -1.0, -1.0, 8.0, -1.0]"
50,"[-2.0, -2.0, 0.0, 17.0, 7.0, -2.0, 9.0, 16.0, -2.0, 16.0]"
60,"[-2.0, -1.0, -2.0, -2.0, -1.0, 17.0, -1.0, -2.0, -2.0, -2.0]"
70,"[-3.0, -2.0, -1.0, -1.0, -1.0, 0.0, 8.0, 18.0, 0.0, -1.0]"
80,"[-2.0, 0.0, -1.0, 0.0, -1.0, -2.0, -2.0, -2.0, -1.0, -2.0]"
90,"[-1.0, -1.0, -1.0, -1.0, 19.0, -1.0, -1.0, 3.0, -1.0, 16.0]"
100,"[-2.0, 10.0, 0.0, -1.0, -1.0, 30.0, -2.0, -1.0, 0.0, 1.0]"
110,"[9.0, 20.0, 9.0, -1.0, -2.0, -2.0, 21.0, -3.0, 15.0, 1.0]"
120,"[-2.0, 23.0, -1.0, -2.0, -2.0, 9.0, -2.0, -3.0, -2.0, 20.0]"
130,"[-2.0, -1.0, -1.0, -2.0, -1.0, 1.0, -3.0, -2.0, -2.0, 0.0]"
140,"[16.0, -1.0, -1.0, -1.0, 10.0, 16.0, -1.0, -1.0, -3.0, -1.0]"
150,"[-2.0, -2.0, -1.0, -2.0, 16.0, -2.0, -1.0, -1.0, -1.0, -2.0]"
160,"[-1.0, 17.0, 9.0, -3.0, -2.0, -1.0, -1.0, 17.0, 10.0, -2.0]"
170,"[28.0, -1.0, 17.0, -1.0, -1.0, -2.0, -1.0, 16.0, 11.0, -1.0]"
180,"[-2.0, -3.0, 14.0, -3.0, 0.0, -2.0, 30.0, 1.0, -1.0, -1.0]"
190,"[12.0, -1.0, -2.0, 11.0, -2.0, 15.0, -3.0, 0.0, 18.0, -1.0]"
200,"[-2.0, 17.0, 20.0, -2.0, 8.0, 1.0, -1.0, -1.0, 16.0, 0.0]"
210,"[-1.0, 12.0, -2.0, 3.0, -2.0, 0.0, 14.0, -2.0, -1.0, -2.0]"
220,"[14.0, -3.0, -1.0, 0.0, 10.0, 18.0, 15.0, -3.0, 4.0, 0.0]"
230,"[-2.0, -1.0, 10.0, -2.0, -1.0, -2.0, -2.0, 11.0, -1.0, -2.0]"
240,"[-1.0, 18.0, 11.0, -2.0, 8.0, -2.0, 36.0, -2.0, -2.0, -1.0]"
250,"[18.0, -2.0, 29.0, -2.0, 8.0, -1.0, 16.0, -1.0, 1.0, -2.0]"
260,"[-2.0, -2.0, -2.0, -1.0, 20.0, -1.0, 0.0, -2.0, 6.0, 9.0]"
270,"[-2.0, 2.0, 5.0, -1.0, 10.0, 14.0, -2.0, 8.0, -2.0, -1.0]"
280,"[-1.0, -2.0, -2.0, 16.0, 11.0, 0.0, 9.0, 12.0, -1.0, 10.0]"
290,"[0.0, -2.0, -1.0, 11.0, -1.0, -1.0, -1.0, 19.0, -2.0, 18.0]"
300,"[-3.0, -1.0, -2.0, -2.0, 0.0, 3.0, -2.0, -2.0, -2.0, 17.0]"
310,"[15.0, -2.0, 11.0, 11.0, 15.0, -2.0, 0.0, 29.0, 11.0, 10.0]"
320,"[27.0, 0.0, -3.0, -2.0, -1.0, 36.0, 23.0, -3.0, 22.0, -1.0]"
330,"[0.0, -2.0, 1.0, -3.0, 8.0, -1.0, 13.0, 5.0, 1.0, -2.0]"
340,"[-2.0, 17.0, 2.0, -2.0, -2.0, 10.0, 19.0, -2.0, -1.0, 23.0]"
350,"[14.0, 39.0, 27.0, -2.0, 11.0, 13.0, 0.0, 14.0, -2.0, 0.0]"
360,"[0.0, 4.0, -2.0, -2.0, -2.0, 0.0, 27.0, -2.0, -2.0, -2.0]"
370,"[-1.0, -2.0, -2.0, 1.0, -2.0, -2.0, 8.0, -2.0, -1.0, 8.0]"
380,"[-2.0, -2.0, 2.0, 15.0, 4.0, -2.0, -3.0, -3.0, -3.0, -3.0]"
390,"[2.0, -3.0, 9.0, 19.0, 11.0, 4.0, 24.0, 20.0, 11.0, -1.0]"
400,"[13.0, 9.0, 11.0, 9.0, -3.0, 4.0, 11.0, -1.0, 1.0, -2.0]"
410,"[25.0, 1.0, 8.0, -2.0, 2.0, 0.0, -2.0, -3.0, 0.0, -2.0]"
420,"[-2.0, 14.0, 8.0, -1.0, 11.0, -2.0, 7.0, 10.0, -2.0, -1.0]"
430,"[-2.0, 0.0, -1.0, -1.0, 15.0, -2.0, -2.0, -1.0, 12.0, 13.0]"
440,"[0.0, -1.0, 50.0, 17.0, 0.0, 18.0, -1.0, 18.0, -2.0, -1.0]"
450,"[-1.0, -2.0, -2.0, 50.0, -1.0, 17.0, 9.0, 0.0, 21.0, -1.0]"
460,"[-1.0, -1.0, 27.0, 18.0, -2.0, -1.0, -2.0, 12.0, 27.0, 2.0]"
470,"[-1.0, 12.0, 0.0, -3.0, -1.0, -3.0, 16.0, 0.0, -1.0, 3.0]"
480,"[-3.0, -3.0, -1.0, -1.0, -2.0, -2.0, 8.0, 22.0, -1.0, -2.0]"
490,"[-1.0, -2.0, -2.0, 12.0, 12.0, 6.0, 26.0, -1.0, -2.0, -1.0]"
500,"[0.0, -2.0, -1.0, 20.0, -2.0, 0.0, -2.0, 3.0, -1.0, -2.0]"
