Num episodes,Cumulative rewards
10,"[-1570.6045899931553, -375.00497434639084, -154.30059806369886, -276.70689514878586, -437.62749632046564, -558.576717892458, -771.4475488125286, -674.3444189982255, -112.69957347491174, -311.52230481072297]"
20,"[-168.80918338817767, -560.2204881977974, -236.07254734618866, -363.88665382881845, -147.63122604516153, -125.83346880689413, -345.02262636504975, -478.26285030802705, -325.8370670034193, -159.64450299187956]"
30,"[-628.0240598848886, -734.9176869193292, -82.8487946584379, -221.15834864883726, -514.207389940218, -585.2804002254585, -195.4234713559636, -132.50556579715564, -79.31612719860021, -486.4046436107193]"
40,"[-425.8473707908587, -116.64206190035813, -405.2454943493758, -161.47977511241646, -305.7397822257784, -22.285486514297943, -718.3485339257691, -382.84530793740544, -666.7911962311584, -357.4959275882523]"
50,"[-409.5963218405699, -552.9469987166499, -233.81106814293577, -491.7962511636932, -770.8906493002526, -146.37860057494655, -138.58711317281882, -313.53598298939124, -1519.6896333001753, -533.7483184649949]"
60,"[-158.44598931904096, -1395.186413289378, -618.5644304142091, -530.404898473421, -1516.5004417924729, -3036.076363739972, -144.93297505864487, -359.7114011090207, -395.0337539618693, -530.1343970134471]"
70,"[-391.567732124328, -392.300476879701, -721.511669197742, -632.197180039591, -521.8711988070324, -153.66633437592554, -211.89267826185528, -513.4233420517573, -220.68183489902037, -492.1483596338669]"
80,"[-121.45956262999411, -123.91343964555682, -304.81411016843117, -234.19187316648828, -511.91731010872786, -611.7532346827905, -149.005655926766, -167.5998069175501, -104.76705144232753, -1450.613771771402]"
90,"[-1614.6798990282502, -157.44841041824827, -451.0114217749905, -113.9458707645993, -384.5725391003874, -16.121499489734887, -176.20896884118076, -157.97238474220364, -128.75632572485532, -522.3084479172987]"
100,"[-249.42924868924112, -100.36811885428449, -513.8774409062289, -527.7269686011067, -154.04391947872114, -356.8518857219831, -277.49276377581305, -132.51785350591769, -1686.2085229689505, -415.2207325444839]"
110,"[-353.7552229209822, -272.2076306413643, -646.5547767058815, -401.61729335860394, -355.3758407044291, -391.5870029516541, -483.12487100359436, -459.5011518671794, -122.18759472131492, -626.1511228478414]"
120,"[-451.66425970827976, -573.6240121935491, -913.4513461228044, -133.55694205889594, -197.0325047271563, -698.0043640338257, -252.92596004460353, -1515.2504603741959, -315.1914310390386, -407.74824403210874]"
130,"[-308.46287364730904, -118.2798396967253, -354.4787141054154, -108.42807153148999, -504.12771283509676, -585.198809984865, -273.9314929834249, -186.0684035833166, -140.63677555030492, -332.6337166916616]"
